,How old is your cat (years)?,Is your cat male or female?,Other (please specify).1,Does your cat have access to the outdoors?,Does your cat have any existing medical conditions?,Does your cat display any behavioural problems,How would you describe your cat's weight?,My cat is keen to explore new things in his/her environment,My cat is playful,My cat is vocal when around people,My cat is comfortable being picked up,My cat is timid,"My cat behaves aggressively (i.e. growls, hisses, bites and swipes with claws) towards me when I stroke him/her",My cat is quick to settle and to adapt to change,"My cat would prefer to be left alone, rather than be with people",My cat likes being stroked,My cat is very tolerant to being handled,My cat is friendly,My cat is fearful
330,5,2,Med hair,2,1,1,3,5,5,5,3,4,1,2,1,5,3,5,3
331,2,2,0,2,1,1,2,4,4,3,4,1,1,4,2,4,4,4,1
332,4,1,0,1,1,1,5,4,3,3,5,2,1,4,3,5,5,5,2
333,8,1,0,1,2,1,3,4,3,3,5,2,1,5,2,5,5,5,2
334,2,1,0,1,1,1,3,4,5,4,4,3,1,3,2,5,4,4,3
335,7,2,0,2,1,1,4,4,3,2,4,3,1,1,3,4,4,5,1
336,2,1,0,1,1,1,3,5,5,5,5,1,1,5,1,5,5,5,3
337,9,1,0,2,1,1,4,5,2,5,5,1,1,5,1,5,5,2,1
338,4,2,0,1,1,1,4,4,4,3,4,4,1,1,2,5,4,4,2
339,4,1,0,1,1,2,3,2,3,1,5,4,3,2,2,4,4,4,5
340,2,2,0,2,1,1,3,5,4,4,4,2,2,4,1,4,4,5,4
341,13,2,0,1,2,1,3,5,4,5,4,2,1,5,1,5,5,5,2
342,1,1,0,1,1,1,4,4,4,4,4,3,1,3,2,4,3,4,3
343,7,1,0,1,1,1,3,5,5,3,5,3,1,3,3,5,5,4,3
344,10,1,Burmese ,2,2,1,3,5,5,4,5,1,1,5,1,5,5,5,1
345,3,2,0,1,1,1,3,5,4,1,5,1,1,4,1,5,5,5,1
346,7,1,0,1,1,1,4,4,4,4,5,2,1,3,1,5,5,4,2
347,3,2,0,1,1,1,3,5,5,3,0,0,1,0,0,0,0,0,0
348,18,2,0,2,2,1,3,4,3,3,5,2,1,4,3,5,4,4,2
349,2,1,Siamese,1,1,1,3,4,4,5,4,2,1,3,2,5,4,4,3
350,6,1,0,1,1,2,3,4,3,5,4,5,1,4,5,4,5,3,4
351,1,1,Abyssinian,1,2,1,3,5,5,3,3,2,1,3,3,5,4,5,2
352,14,2,0,2,1,1,3,4,4,1,4,2,1,3,2,4,4,4,2
353,16,1,Ragdoll,1,2,1,2,4,3,3,5,1,1,4,1,5,5,5,1
354,16,2,0,2,2,1,3,4,3,1,3,2,1,4,3,5,4,3,2
355,10,2,0,2,2,1,4,4,3,1,5,1,1,5,2,5,5,5,1
356,10,1,0,1,1,1,3,4,4,3,5,3,1,4,1,5,5,5,1
357,2,1,Oriental Shorthair ,1,1,1,3,5,5,5,5,1,1,5,1,5,5,5,1
358,10,2,0,1,1,1,3,5,5,5,3,3,1,4,3,5,3,5,2
359,6,1,0,2,1,1,3,5,4,3,2,2,1,2,1,5,4,4,2
360,15,1,0,1,2,1,2,5,5,4,4,4,1,2,3,4,3,4,4
361,8,1,Siamese,1,1,1,2,4,4,3,0,0,1,0,0,0,0,0,0
362,6,2,Siamese,1,2,1,3,4,4,5,5,3,1,5,1,5,5,5,2
363,4,1,0,1,1,1,4,5,4,5,5,1,1,5,1,5,5,5,1
364,16,1,0,1,1,1,3,4,3,1,4,2,1,2,2,5,4,4,2
365,16,2,Devon Rex,1,2,1,3,4,3,1,5,2,1,3,1,5,4,5,2
366,16,1,0,2,2,1,3,4,3,3,3,2,1,4,3,4,3,4,2
367,14,2,0,1,1,1,3,3,3,4,0,0,1,0,0,0,0,0,0
368,1,2,0,2,1,1,4,5,4,3,5,3,1,4,2,4,5,5,2
369,6,2,0,2,1,1,3,3,4,3,5,1,1,4,2,5,5,5,2
370,13,1,0,1,1,1,4,4,3,3,3,2,1,4,2,4,4,4,2
371,16,2,0,2,1,2,3,3,4,3,5,1,1,3,5,5,5,5,1
372,1,2,0,2,2,1,3,5,5,4,4,3,1,5,2,4,5,5,2
373,13,1,British shorthair,1,2,1,4,3,3,2,2,2,1,2,2,5,5,5,2
374,3,1,0,1,1,1,3,5,5,4,0,0,1,0,0,0,0,0,0
375,2,1,0,2,1,1,3,5,5,4,5,1,1,5,1,5,5,5,1
376,7,1,0,2,1,1,3,4,5,3,3,4,3,3,2,5,3,5,1
377,6,2,0,2,1,1,3,5,4,5,5,2,1,2,2,5,5,5,1
378,8,2,0,1,1,1,4,5,5,3,4,2,1,5,2,5,5,5,1
379,1,1,0,2,1,1,3,5,5,4,5,1,1,5,2,5,5,5,1
380,1,1,Bengal,2,1,1,3,5,5,4,5,1,1,4,2,5,4,5,2
381,6,1,0,2,1,2,3,5,4,1,3,3,3,4,2,4,3,3,3
382,6,1,0,2,2,1,4,3,3,3,3,2,1,5,2,4,4,5,2
383,12,2,0,1,1,2,3,1,1,4,5,2,2,1,5,3,1,2,5
384,9,2,0,2,1,1,4,4,3,4,2,3,1,4,2,5,3,5,2
385,12,2,0,2,1,1,4,2,2,5,5,3,1,2,2,5,5,5,3
386,1,1,0,2,1,1,2,5,5,5,4,2,1,3,3,5,4,4,2
387,5,2,0,2,1,2,3,3,3,3,4,3,1,1,2,5,5,4,1
388,19,1,0,2,1,1,3,5,3,3,4,1,1,5,2,5,5,5,1
389,9,2,0,2,1,1,3,3,5,4,4,2,1,4,1,5,5,5,1
390,6,2,0,2,1,1,3,5,5,3,2,2,1,3,2,4,4,4,2
391,1,1,0,1,1,1,3,5,5,3,5,1,2,5,1,5,5,5,1
392,10,1,0,2,2,1,3,4,3,3,5,1,1,4,2,4,4,5,1
393,6,1,0,2,2,1,3,5,4,4,2,3,1,3,2,4,3,4,2
394,6,1,0,2,1,2,3,4,3,4,4,5,3,2,2,5,4,4,4
395,10,1,0,2,1,2,3,2,1,1,0,0,1,0,0,0,0,0,0
396,1,2,Siamese ,1,2,1,3,5,5,5,5,1,1,3,1,5,5,5,1
397,14,2,0,2,2,1,3,4,3,3,3,3,1,3,2,5,3,5,2
398,12,1,0,2,1,1,4,4,4,3,1,3,1,1,4,5,2,5,2
399,3,2,0,2,1,1,3,5,5,1,4,4,3,4,2,4,3,3,4
400,5,2,0,1,1,2,4,4,4,4,3,2,1,2,3,5,5,5,3
401,2,2,Common European ,1,1,1,3,5,4,2,3,3,1,4,2,4,4,4,3
402,4,2,0,1,2,1,2,5,3,1,4,1,1,5,1,4,4,4,1
403,2,1,0,2,1,1,3,5,4,5,4,1,1,5,2,4,5,5,2
404,9,1,0,2,1,2,3,5,4,4,2,2,3,4,2,4,2,3,2
405,12,2,0,2,2,1,3,3,3,4,5,3,1,4,2,5,5,5,1
406,3,1,0,2,1,1,3,5,4,3,2,2,1,4,2,4,3,5,2
407,8,2,0,2,1,1,3,3,4,4,5,2,2,4,2,5,5,5,3
408,7,1,0,2,1,1,3,5,3,3,2,2,3,4,2,4,3,4,2
409,2,1,0,2,1,1,3,4,4,3,4,2,1,3,2,5,4,5,1
410,7,2,0,2,1,1,4,5,5,4,5,1,1,3,2,5,5,5,1
411,2,1,0,1,1,1,4,5,5,5,5,3,1,4,3,5,5,4,3
412,1,1,0,2,1,2,3,5,1,3,3,1,3,3,3,3,3,1,1
413,4,2,0,2,1,1,3,5,5,5,5,1,1,5,1,4,5,5,1
414,8,2,0,2,1,1,3,4,3,3,2,2,1,5,2,5,4,5,1
415,3,1,0,2,1,1,2,4,5,5,4,2,1,4,2,4,4,5,1
416,7,2,0,1,2,1,2,5,4,3,2,3,1,4,2,5,4,5,2
417,3,1,0,1,1,1,3,4,4,4,5,2,1,3,2,5,5,4,3
418,13,2,0,1,2,1,3,5,5,5,1,5,1,2,2,5,2,5,3
419,8,2,0,2,2,1,3,4,3,3,4,4,1,1,1,5,3,4,3
420,1,2,0,2,1,2,2,5,5,1,4,4,3,2,2,5,4,4,4
421,4,2,0,2,1,1,4,5,3,4,1,4,1,2,4,3,1,3,3
422,11,1,0,2,1,1,3,4,4,1,5,4,1,2,4,5,4,3,3
423,8,1,0,2,2,2,3,3,3,3,4,5,1,1,4,4,4,4,5
424,12,1,Persian ,2,2,1,3,3,4,1,4,3,1,3,1,5,3,5,2
425,2,1,Serengeti,2,1,2,3,5,4,3,2,4,1,2,1,4,3,5,5
426,1,1,0,2,1,1,3,5,4,1,4,2,2,3,3,4,3,4,2
427,1,1,"""farm mix""",2,1,1,2,5,4,4,4,1,1,5,1,4,5,4,1
428,9,2,0,2,2,1,3,5,3,5,0,0,1,0,0,0,0,0,0
429,8,2,Bengal,1,2,2,2,4,4,5,4,2,1,2,3,4,4,4,2
430,4,2,Tonkinese,1,1,1,3,5,4,4,5,1,1,4,1,5,5,5,1
431,10,2,0,2,1,1,3,3,4,3,4,2,1,3,2,4,3,4,3
432,5,1,0,1,2,1,4,4,4,3,4,3,3,5,4,3,2,1,3
433,5,2,0,1,1,1,5,5,3,5,1,4,3,3,2,2,4,3,3
434,11,2,0,2,1,1,3,3,3,1,4,4,1,2,5,4,4,3,3
435,1,1,0,2,1,2,3,4,5,2,4,3,1,2,3,4,4,5,4
436,5,2,0,1,1,1,3,5,3,4,3,3,1,2,3,2,2,2,2
437,1,1,Sphynx ,1,1,1,3,5,5,5,5,1,1,4,1,5,5,5,2
438,12,2,0,2,1,2,5,1,3,3,1,5,1,1,2,5,4,3,5
439,10,1,0,2,1,2,4,5,4,3,3,3,3,3,2,3,2,2,3
440,1,2,Maine coon,1,1,1,3,5,5,3,4,4,1,4,2,4,5,5,4
441,13,2,0,2,2,1,2,5,3,2,5,2,1,3,2,5,5,5,1
442,9,1,0,1,1,1,4,3,4,1,0,0,1,0,0,0,0,0,0
443,7,1,Abyssinian,1,1,1,3,5,5,4,5,1,1,5,1,5,5,5,1
444,12,1,0,1,1,1,3,4,3,3,4,3,1,3,3,4,4,4,2
445,9,1,0,1,1,1,3,5,5,5,5,1,1,5,1,5,5,5,1
446,7,1,Ragdoll mix,2,2,1,3,3,3,1,3,4,5,2,3,4,3,5,1
447,7,2,0,2,2,1,3,3,4,3,4,4,1,2,2,4,3,4,2
448,7,2,0,2,2,1,3,3,4,3,4,4,1,2,2,4,2,4,2
449,15,1,Balinese,2,2,1,3,1,3,4,5,4,1,4,2,5,5,5,3
450,2,1,0,2,2,1,3,5,5,5,5,2,1,3,2,4,4,4,2
451,5,1,0,2,2,1,3,3,4,3,4,2,1,4,2,5,4,4,3
452,4,1,0,2,1,1,4,4,3,4,1,4,1,2,2,4,2,4,2
453,7,1,0,2,1,1,3,5,3,3,3,3,1,5,2,4,4,4,2
454,15,2,0,2,1,1,3,5,3,1,3,3,1,4,3,4,4,4,1
455,6,2,0,2,1,1,3,4,3,4,2,3,1,2,2,4,2,4,4
456,3,1,0,2,1,1,3,5,5,4,2,4,1,2,2,3,3,3,3
457,8,2,0,2,1,2,3,3,4,3,4,4,1,1,2,4,2,4,4
458,6,2,0,2,2,1,3,4,4,3,2,4,1,1,3,5,2,5,3
459,6,1,0,2,1,2,4,5,3,3,4,5,3,2,4,4,4,4,4
460,3,1,0,2,1,1,3,4,5,4,5,3,1,2,2,5,5,4,3
461,5,2,mixed domestic/maine coon,2,1,1,4,3,3,1,1,2,1,3,3,4,1,5,5
462,2,2,0,2,1,1,4,5,3,1,1,4,1,3,3,4,1,5,5
463,6,2,0,2,1,1,4,4,4,3,3,2,1,2,3,5,4,5,3
464,3,1,Tonkineses,2,1,1,3,4,4,4,4,3,1,3,1,5,3,4,4
465,6,2,Maine Coon ,2,1,1,3,4,3,3,4,2,1,3,1,4,3,4,2
466,9,1,0,2,2,1,4,5,4,4,4,2,3,4,1,5,4,4,2
467,10,2,0,2,1,2,4,4,3,5,2,1,3,2,1,4,3,5,2
468,3,2,0,1,1,1,3,4,5,3,4,3,1,4,3,5,4,5,3
469,4,1,0,2,1,1,3,5,5,3,4,4,3,4,4,4,2,4,4
470,7,2,Tortie,1,1,1,2,3,4,3,5,2,1,3,2,5,4,4,2
471,1,1,0,2,1,1,3,5,5,5,5,1,1,3,1,5,5,5,1
472,5,1,0,2,1,1,3,5,4,4,4,2,1,4,2,4,4,4,1
473,2,2,0,2,1,2,3,1,3,3,0,0,1,0,0,0,0,0,0
474,3,1,0,1,1,1,3,5,4,4,5,3,1,2,2,5,5,5,3
475,3,2,0,2,1,1,4,3,3,3,3,3,1,3,3,4,3,4,2
476,3,1,0,1,1,1,3,4,4,3,4,4,1,4,4,4,4,4,3
477,9,1,0,2,1,1,3,4,4,5,4,2,1,4,3,4,4,4,2
478,5,1,0,2,1,1,3,4,3,2,2,3,1,2,3,4,2,3,3
479,8,2,0,2,1,1,3,3,4,1,5,3,1,4,3,5,5,4,2
480,8,1,Persian,1,1,1,3,4,4,1,5,1,1,5,1,5,5,5,1
481,8,2,0,1,2,1,3,4,3,4,4,2,1,5,2,5,5,5,2
482,7,2,0,2,1,1,3,4,3,3,2,3,1,4,3,5,4,5,3
483,2,1,0,2,1,1,3,5,4,5,5,1,1,5,1,1,5,5,1
484,4,1,0,2,1,1,3,4,5,5,5,2,2,3,2,4,4,4,3
485,16,1,Maine Coon,2,2,1,2,1,3,5,5,1,1,4,1,5,5,5,1
486,12,2,Norwegian Forrest,2,2,1,3,3,3,3,4,2,2,4,2,4,4,4,2
487,8,1,abyssinian,1,1,1,4,5,5,3,2,1,1,4,1,5,4,5,1
488,9,1,japanese bobtail,1,1,1,3,5,4,3,5,1,1,4,1,5,5,5,2
489,8,1,British Shorthair,1,1,1,3,3,3,3,2,3,1,3,4,1,3,3,4
490,4,1,0,1,1,1,3,4,4,4,4,4,3,4,3,5,4,4,3
491,4,2,0,2,1,1,3,4,4,1,3,4,1,4,4,5,3,4,4
492,2,2,0,2,1,2,3,1,3,1,4,4,1,2,3,4,2,3,4
493,3,2,0,2,1,1,3,4,4,4,4,2,1,3,2,4,4,5,2
494,3,1,0,2,1,1,4,4,4,5,4,4,1,2,3,4,4,5,3
495,9,1,0,2,1,2,3,4,4,3,1,5,1,2,2,2,2,4,4
496,9,1,0,2,2,1,3,5,3,3,3,2,1,4,2,4,4,4,2
497,9,1,0,2,1,1,3,5,3,3,2,4,1,4,3,4,2,4,4
498,1,2,0,1,1,1,3,5,5,5,4,2,1,3,1,5,4,5,2
499,11,2,Tortiepoint Birman/Ragdoll Cross,2,1,1,3,5,5,3,1,4,1,4,4,3,1,3,3
500,3,2,0,2,1,1,3,5,4,5,4,2,1,1,4,3,2,2,2
501,3,1,0,2,1,2,3,5,3,3,3,2,3,4,3,4,2,4,2
502,6,2,0,2,1,2,3,4,3,1,3,4,1,3,5,3,3,3,5
503,9,1,0,2,1,1,3,3,3,1,2,4,1,2,2,5,2,4,2
504,3,2,0,1,2,1,3,5,5,5,2,1,1,4,2,5,2,4,4
505,15,2,0,2,2,2,3,3,3,5,5,1,1,3,2,5,3,5,1
506,2,1,0,2,1,1,3,4,4,5,4,3,1,4,1,5,5,5,2
507,3,1,0,2,1,1,3,4,4,3,4,2,1,4,3,4,4,5,2
508,12,1,Egyptian Mau,1,1,1,3,5,5,5,5,1,1,5,1,5,5,5,1
509,5,2,0,2,2,1,3,5,5,5,5,1,1,1,1,5,4,4,3
510,1,1,0,2,1,1,3,4,4,4,5,3,1,4,2,4,5,4,3
511,10,1,0,2,1,1,5,4,4,5,5,5,1,5,1,5,5,5,1
512,18,1,0,2,2,1,3,4,3,3,4,2,1,4,2,5,5,5,1
513,3,1,Persian ,1,1,1,3,5,4,1,5,3,1,3,1,5,5,5,3
514,19,2,0,2,1,1,2,4,3,4,4,4,1,4,2,4,3,5,2
515,7,1,0,2,1,1,3,5,5,5,0,0,1,0,0,0,0,0,0
516,10,1,0,2,2,1,4,4,4,3,5,2,2,4,1,3,5,4,1
517,6,2,Bengal ,2,1,1,3,4,3,5,4,1,1,2,2,4,4,5,2
518,3,2,0,2,1,1,3,5,5,5,4,4,1,4,1,5,5,4,2
519,15,1,0,2,1,2,3,3,3,5,3,5,3,3,2,5,3,4,5
520,9,2,0,2,1,2,3,5,3,3,2,5,3,3,3,2,2,3,3
521,12,2,0,2,1,2,3,3,3,3,2,4,1,4,4,4,3,4,4
522,10,2,0,2,1,1,4,5,5,5,2,2,1,5,2,5,4,4,2
523,3,1,0,1,2,1,3,4,4,4,5,3,1,5,3,5,5,5,3
524,3,1,0,2,1,1,3,4,3,4,4,2,1,4,3,5,4,4,2
525,3,1,0,2,1,1,3,5,5,4,2,2,1,4,3,5,4,5,1
526,1,1,0,2,1,2,3,5,5,5,3,3,1,4,1,4,4,5,3
527,3,2,0,1,2,2,3,5,5,4,4,4,1,4,1,5,5,5,2
528,2,1,Norwegian Forest Cat,2,1,1,2,5,5,3,5,1,1,5,1,5,5,5,1
529,3,2,0,2,1,1,3,4,3,1,4,2,1,2,2,4,4,4,4
530,12,2,0,1,1,1,3,1,4,4,3,4,1,2,1,5,3,5,4
531,8,1,0,2,2,1,4,5,4,3,5,1,1,4,1,5,5,5,1
532,6,1,0,2,1,2,4,4,3,1,2,4,2,2,1,4,2,4,4
533,9,1,Siamese,1,1,1,3,5,4,5,5,1,1,5,1,5,5,5,1
534,6,1,0,1,2,1,3,5,5,1,4,2,1,5,2,4,4,5,2
535,14,1,Russian white,2,2,1,3,1,3,3,5,2,1,2,2,5,5,5,2
536,9,1,0,2,1,1,3,4,5,3,5,5,1,5,2,5,5,5,1
537,6,2,0,1,2,1,3,3,5,4,4,1,1,4,2,5,5,5,1
538,1,1,0,2,1,2,3,3,5,3,2,4,1,2,2,4,3,3,4
539,6,2,0,1,1,1,3,4,3,4,2,4,1,2,2,4,4,4,3
540,9,1,0,1,1,2,3,5,4,3,1,5,1,2,4,3,5,3,2
541,5,1,0,2,1,1,4,4,5,3,5,3,1,5,1,5,5,5,1
542,5,2,Thai - Siamese,1,1,1,3,5,5,5,5,2,1,5,2,5,5,5,1
543,15,2,0,1,1,2,3,3,3,2,2,3,1,4,4,3,2,2,3
544,3,1,0,2,1,1,3,5,5,5,3,1,1,4,1,4,4,5,1
545,7,2,0,1,1,1,3,3,3,4,2,4,1,2,3,5,2,4,3
546,5,2,0,1,1,1,3,5,4,4,2,2,2,4,2,4,1,4,1
547,15,1,0,1,2,1,3,5,4,5,5,1,1,5,2,5,5,2,3
548,5,1,Siberian,1,1,1,2,5,4,1,2,3,1,4,2,4,4,4,2
549,2,1,0,1,2,1,3,5,5,1,5,2,1,4,1,4,5,5,1
550,2,2,0,2,1,1,3,5,5,3,5,4,1,4,2,5,4,5,1
551,8,2,0,2,1,2,3,5,5,4,1,4,1,1,2,4,1,5,4
552,15,1,Burmese,2,2,1,2,5,5,4,4,2,1,4,2,5,4,4,2
553,2,1,0,1,1,1,3,5,4,5,5,2,1,4,3,4,5,4,3
554,12,1,0,2,2,2,3,3,2,2,4,3,1,2,3,5,4,5,4
555,19,1,0,2,2,2,2,5,3,4,4,1,1,2,1,5,5,5,2
556,18,2,Tonkinese,1,2,1,3,3,4,4,4,2,1,4,2,5,5,5,2
557,6,1,0,2,1,1,4,5,4,2,5,1,3,3,1,5,5,5,1
558,3,2,0,2,1,2,2,4,3,1,2,5,1,1,5,4,2,1,5
559,4,2,Angora,2,1,2,3,4,4,4,1,4,4,3,4,3,2,4,4
560,3,1,0,1,1,1,4,4,3,1,4,2,1,2,5,3,4,3,4
561,9,1,Russian blue,2,1,1,3,2,3,2,5,5,1,4,1,4,5,5,1
562,4,2,0,2,2,1,4,5,5,4,4,3,1,4,2,5,4,5,2
563,6,2,0,2,2,1,3,5,5,4,1,4,1,4,3,5,2,5,4
564,11,2,0,2,1,1,3,4,4,4,2,2,1,4,1,5,5,5,1
565,1,2,0,2,1,1,3,5,5,3,4,2,3,4,4,4,4,4,2
566,3,1,0,2,2,1,3,3,4,4,5,3,1,3,1,5,5,5,2
567,13,1,0,2,1,2,3,4,5,3,3,1,1,2,1,5,5,5,1
568,12,1,0,2,1,1,3,5,3,5,4,3,1,3,2,5,4,5,1
569,11,2,0,2,1,2,3,4,4,5,3,4,1,2,2,5,4,4,3
570,1,1,0,2,2,1,3,3,4,4,5,2,1,4,1,4,4,5,1
571,2,1,0,2,1,1,3,4,4,1,4,2,1,3,4,4,4,4,3
572,1,1,0,2,1,1,3,5,4,3,4,4,1,4,3,4,4,5,3
573,8,1,Persian,1,2,1,3,4,4,3,3,3,1,3,2,4,4,3,5
574,4,2,0,2,1,1,4,5,5,4,5,2,1,5,1,5,5,5,1
575,6,2,0,2,1,2,3,3,4,1,2,5,1,2,3,4,3,5,4
576,2,2,0,1,1,1,3,5,5,4,5,3,1,4,3,4,4,4,2
577,4,2,0,2,1,2,3,3,3,1,2,4,3,4,3,5,3,4,4
578,3,1,0,2,1,1,3,5,4,3,4,4,3,4,2,4,1,3,4
579,9,2,persian,2,1,1,3,5,4,4,3,2,1,2,2,4,4,4,2
580,8,1,0,2,1,1,3,5,5,3,0,0,1,0,0,0,0,0,0
581,11,2,0,2,1,1,3,3,1,4,1,5,3,1,3,4,2,3,5
582,12,1,0,2,1,1,3,4,4,3,4,4,1,2,2,4,4,4,4
583,12,2,0,2,1,1,3,4,4,3,3,3,3,2,2,4,3,3,4
584,1,1,0,2,1,1,3,5,5,3,5,1,1,3,1,5,5,5,2
585,9,1,0,2,1,1,3,5,4,4,5,2,1,4,1,5,5,5,2
586,1,2,0,2,1,1,3,5,5,5,5,1,1,5,1,4,4,5,1
587,1,1,0,2,1,1,3,5,5,3,5,1,3,3,1,4,4,5,1
588,5,2,0,2,2,1,3,4,5,4,4,2,1,5,1,5,4,5,2
589,1,2,0,2,1,1,3,5,5,3,4,2,1,3,2,3,3,4,2
590,5,1,0,2,1,1,3,5,4,4,5,1,1,4,2,4,5,5,2
591,6,1,0,1,1,2,4,4,3,3,5,2,1,4,2,4,4,4,2
592,6,1,0,2,1,1,4,4,5,4,3,1,1,5,2,5,3,5,1
593,1,2,0,2,1,1,4,4,5,5,5,3,1,4,1,5,5,4,3
594,15,1,0,2,2,1,1,5,5,5,4,2,1,4,1,5,5,5,2
595,10,2,0,2,1,1,4,3,3,4,4,2,1,4,2,5,4,4,1
596,11,1,0,1,1,1,3,5,3,3,3,1,1,5,1,5,3,5,1
597,3,1,0,2,1,1,3,4,4,1,5,2,1,4,2,4,4,5,2
598,4,2,0,1,1,2,3,4,3,5,5,3,1,2,3,5,5,4,2
599,6,1,0,2,1,1,3,4,3,1,5,2,1,5,2,5,5,5,2
600,1,2,0,2,1,1,3,5,4,3,2,4,4,2,3,4,3,3,2
601,8,2,0,2,1,1,3,4,3,3,2,2,1,4,2,4,2,3,2
602,11,1,0,2,1,2,3,5,5,3,3,1,1,3,2,5,3,5,1
603,15,1,0,2,1,1,3,3,3,3,5,1,1,5,3,5,5,5,3
604,4,1,Oriental shorthair,1,2,1,3,5,5,5,3,2,1,3,1,4,4,5,1
605,21,2,0,2,2,1,3,4,3,5,4,2,1,4,2,4,3,5,2
606,1,1,Ragdoll,2,1,1,3,5,4,5,5,1,1,5,1,4,4,5,2
607,18,2,0,2,2,2,2,4,1,3,4,2,3,4,2,4,3,3,2
608,15,2,0,2,1,1,3,3,3,2,5,2,1,5,1,5,5,5,1
609,1,2,0,1,1,2,3,5,4,4,4,4,3,4,2,4,2,4,4
610,2,1,0,2,1,1,3,5,5,5,1,2,1,3,2,4,4,4,2
611,3,1,0,2,1,2,3,5,4,4,4,2,3,4,2,4,3,3,3
612,5,1,0,1,1,1,3,5,5,4,2,4,1,5,3,5,4,5,4
613,1,1,0,2,1,1,3,5,5,5,5,2,1,4,2,5,5,5,2
614,18,1,0,2,2,2,2,3,3,5,4,1,1,4,2,5,4,5,1
615,3,2,Moggy,2,1,1,3,5,4,5,1,1,1,4,2,5,2,5,1
616,8,1,0,2,1,1,3,5,5,5,2,3,1,3,1,5,3,5,3
617,1,1,0,2,1,1,3,5,5,4,4,3,1,4,1,5,5,5,1
618,2,2,0,1,1,1,3,4,3,4,2,4,1,2,2,5,3,4,2
619,5,1,0,2,1,1,4,5,4,4,3,2,3,4,1,5,4,4,2
620,14,1,0,2,1,1,3,5,5,5,5,1,1,4,1,5,4,4,1
621,5,2,0,2,1,1,3,4,3,1,3,4,1,3,5,4,3,3,3
622,3,1,0,2,1,1,4,3,4,3,4,2,1,3,3,4,4,4,2
623,15,1,0,2,2,1,2,3,3,5,2,2,1,3,2,4,2,4,2
624,15,2,Persian,1,2,1,3,5,4,5,4,1,1,5,3,5,5,5,1
625,4,1,0,2,1,1,3,5,5,4,5,1,1,5,2,5,5,5,1
626,9,1,0,2,1,1,3,5,4,1,4,1,1,4,3,4,4,5,1
627,14,1,0,2,1,1,3,4,3,3,4,2,1,4,1,4,4,4,1
628,9,1,0,2,1,1,3,3,3,2,2,3,1,2,2,5,2,4,3
629,3,2,0,1,1,1,3,4,4,3,2,2,1,3,2,4,2,5,2
630,8,2,0,2,1,1,3,5,3,5,5,2,1,4,2,5,5,4,2
631,3,2,0,1,1,1,3,5,5,3,2,2,1,2,1,4,4,5,2
632,3,2,Siamese,2,1,1,2,5,5,5,5,2,1,3,1,5,5,5,1
633,6,1,0,2,1,1,3,4,4,3,3,4,1,2,2,3,4,4,2
634,6,1,0,2,1,1,3,4,4,3,0,0,1,0,0,0,0,0,0
635,3,1,Maine coon,1,1,1,3,5,5,4,4,3,1,3,2,5,5,5,1
636,16,1,0,2,2,1,3,4,3,3,2,2,1,4,2,4,4,4,2
637,4,2,0,1,2,2,3,4,4,3,4,3,1,3,1,5,4,4,2
638,9,2,0,2,1,1,3,5,4,3,5,4,1,2,3,5,5,4,2
639,11,2,0,1,1,1,4,5,4,3,2,3,1,2,4,4,3,4,3
640,10,1,Bengal,2,1,1,3,5,4,4,2,1,1,5,2,5,4,5,1
641,8,2,0,2,1,1,3,4,4,3,2,2,1,2,2,5,4,5,2
642,2,1,British blue crossbreed,1,1,2,3,5,5,1,5,5,1,3,3,4,5,5,4
643,6,2,0,2,1,2,3,4,4,3,4,2,3,3,1,5,4,5,2
644,5,2,0,2,1,1,3,5,4,3,3,3,1,4,2,5,4,4,2
645,1,2,british blue tabby,1,1,1,3,4,5,1,2,4,1,2,3,5,3,5,2
646,4,2,0,2,1,1,3,5,4,1,3,4,1,4,4,5,4,5,2
647,4,1,0,1,2,1,3,3,5,3,0,0,1,0,0,0,0,0,0
648,8,1,Domestic semi-long haired ,2,2,2,3,5,4,5,4,4,3,5,1,4,3,3,2
649,6,2,Birman,2,1,1,3,5,3,3,2,4,1,2,2,4,3,3,4
650,1,1,0,2,1,1,3,4,3,4,4,2,1,3,3,3,3,4,2
651,17,2,0,1,1,1,3,5,4,5,4,3,1,4,4,4,3,4,2
652,2,2,0,2,1,1,2,5,4,5,5,4,1,4,2,5,5,5,1
653,2,2,0,2,1,2,3,5,5,1,5,3,1,2,3,5,4,5,3
654,1,1,0,2,2,1,3,5,5,5,5,3,1,4,2,5,5,5,1
655,1,1,0,2,1,1,3,5,4,3,5,2,1,4,1,5,5,5,1
656,8,1,0,1,1,1,3,4,3,3,2,2,1,4,2,4,4,4,2
657,4,2,0,2,1,1,3,5,3,3,4,2,1,5,3,4,4,4,2
658,2,2,0,1,2,2,3,4,4,5,5,2,1,5,1,5,5,5,2
659,4,2,0,1,2,2,3,5,5,5,0,0,3,0,0,0,0,0,0
660,2,2,0,2,1,2,3,3,4,5,4,3,1,2,1,5,5,5,1
661,18,2,0,2,1,1,2,3,3,4,4,2,1,4,2,4,5,5,1
662,4,1,0,2,1,1,3,5,5,3,5,1,1,3,3,5,4,5,2
663,2,2,0,1,2,1,3,5,3,3,3,3,2,3,4,3,3,4,2
664,5,1,0,2,2,2,3,4,4,5,5,2,1,4,1,5,5,5,1
665,12,1,0,2,1,1,4,2,2,1,5,1,1,5,1,5,5,5,1
