,How old is your cat (years)?,Is your cat male or female?,Other (please specify).1,Does your cat have access to the outdoors?,Does your cat have any existing medical conditions?,Does your cat display any behavioural problems,How would you describe your cat's weight?,My cat is keen to explore new things in his/her environment,My cat is playful,My cat is vocal when around people,My cat is comfortable being picked up,My cat is timid,"My cat behaves aggressively (i.e. growls, hisses, bites and swipes with claws) towards me when I stroke him/her",My cat is quick to settle and to adapt to change,"My cat would prefer to be left alone, rather than be with people",My cat likes being stroked,My cat is very tolerant to being handled,My cat is friendly,My cat is fearful
656,8,Male,0,No,No,No,Normal,Usually,Occasionally,Occasionally,Disagree,Disagree,Never,Agree,Disagree,Agree,Agree,Agree,Disagree
657,4,Female,0,Yes,No,No,Normal,Always,Occasionally,Occasionally,Agree,Disagree,Never,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree
658,2,Female,0,No,Yes,Yes,Normal,Usually,Usually,Always,Strongly agree,Disagree,Never,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree
659,4,Female,0,No,Yes,Yes,Normal,Always,Always,Always,0,0,Occasionally,0,0,0,0,0,0
660,2,Female,0,Yes,No,Yes,Normal,Occasionally,Usually,Always,Agree,Neither agree nor disagree,Never,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
661,18,Female,0,Yes,No,No,Underweight,Occasionally,Occasionally,Usually,Agree,Disagree,Never,Agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly disagree
662,4,Male,0,Yes,No,No,Normal,Always,Always,Occasionally,Strongly agree,Strongly disagree,Never,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Disagree
663,2,Female,0,No,Yes,No,Normal,Always,Occasionally,Occasionally,Neither agree nor disagree,Neither agree nor disagree,Once,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree
664,5,Male,0,Yes,Yes,Yes,Normal,Usually,Usually,Always,Strongly agree,Disagree,Never,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
665,12,Male,0,Yes,No,No,Overweight,Once,Once,Never,Strongly agree,Strongly disagree,Never,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
666,16,Male,0,Yes,Yes,No,Normal,Always,Usually,Always,Strongly agree,Disagree,Never,Disagree,Disagree,Strongly agree,Agree,Strongly agree,Disagree
667,2,Male,0,Yes,No,No,Normal,Always,Always,Occasionally,Neither agree nor disagree,Disagree,Never,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,Agree,Disagree
668,6,Male,0,Yes,Yes,Yes,Normal,Usually,Usually,Occasionally,Disagree,Disagree,Never,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly disagree
669,5,Male,0,No,No,No,Normal,Usually,Usually,Usually,Strongly agree,Strongly agree,Never,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
670,3,Female,0,Yes,No,Yes,Normal,Always,Usually,Occasionally,Strongly disagree,Neither agree nor disagree,Never,Disagree,Agree,Disagree,Disagree,Agree,Strongly disagree
671,3,Female,0,Yes,No,No,Normal,Usually,Usually,Usually,Agree,Disagree,Occasionally,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly disagree
672,4,Male,0,No,No,No,Normal,Usually,Occasionally,Never,Agree,Disagree,Once,Agree,Disagree,Agree,Agree,Agree,Disagree
673,5,Male,0,Yes,No,No,Normal,Always,Usually,Always,Agree,Disagree,Occasionally,Agree,Disagree,Strongly agree,Agree,Strongly agree,Disagree
674,11,Female,0,Yes,No,No,Normal,Usually,Occasionally,Occasionally,Agree,Neither agree nor disagree,Occasionally,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree
675,4,Female,0,No,No,No,Normal,Always,Occasionally,Occasionally,Disagree,Agree,Never,Disagree,Agree,Agree,Disagree,Agree,Disagree
676,16,Male,Ragdoll,Yes,No,No,Normal,Usually,Usually,Always,Agree,Disagree,Never,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
677,4,Female,0,No,No,No,Normal,Usually,Always,Always,Agree,Disagree,Never,Disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Disagree
678,9,Male,British short hair,No,Yes,No,Underweight,Always,Occasionally,Never,Strongly agree,Strongly disagree,Never,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
679,5,Male,0,Yes,No,No,Overweight,Occasionally,Occasionally,Never,Disagree,Agree,Never,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree
680,1,Female,British blue ,No,No,No,Normal,Always,Always,Occasionally,Strongly agree,Disagree,Never,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly disagree
681,6,Male,0,Yes,No,No,Normal,Always,Occasionally,Never,Strongly agree,Disagree,Never,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Disagree
682,4,Female,0,No,No,Yes,Overweight,Occasionally,Once,Never,Neither agree nor disagree,Strongly agree,Never,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree
683,4,Male,0,Yes,No,No,Normal,Always,Always,Always,Strongly agree,Strongly disagree,Never,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree
684,5,Female,0,No,No,No,Overweight,Occasionally,Usually,Usually,Disagree,Disagree,Occasionally,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree
685,3,Female,0,Yes,No,No,Normal,Always,Usually,Occasionally,Strongly agree,Disagree,Occasionally,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Disagree
686,14,Female,0,Yes,Yes,No,Overweight,Occasionally,Occasionally,Always,Disagree,Disagree,Never,Strongly disagree,Disagree,Strongly agree,Agree,Strongly agree,Disagree
687,9,Female,Bengal,Yes,No,Yes,Normal,Usually,Always,Always,Neither agree nor disagree,Strongly disagree,Never,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree
688,5,Male,0,Yes,Yes,No,Normal,Usually,Usually,Usually,Neither agree nor disagree,Neither agree nor disagree,Occasionally,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
689,5,Male,0,Yes,Yes,No,Overweight,Usually,Usually,Occasionally,Agree,Strongly agree,Never,Neither agree nor disagree,Disagree,Strongly agree,Agree,Neither agree nor disagree,Agree
690,6,Female,0,Yes,No,No,Normal,Usually,Usually,Usually,Disagree,Agree,Never,Strongly disagree,Disagree,Strongly agree,Disagree,Strongly agree,Agree
691,5,Female,0,Yes,No,No,Normal,Always,Always,Always,Strongly agree,Strongly agree,Never,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,Disagree
692,5,Female,0,Yes,No,No,Normal,Always,Usually,Never,Agree,Agree,Never,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Agree
693,4,Male,Moggy,Yes,No,No,Underweight,Always,Always,Occasionally,Strongly agree,Strongly agree,Never,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
694,10,Female,0,Yes,No,No,Normal,Always,Always,Usually,Agree,Disagree,Never,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
695,13,Female,Birman,Yes,No,No,Normal,Usually,Occasionally,Usually,Strongly disagree,Agree,Once,Neither agree nor disagree,Disagree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree
696,6,Male,0,Yes,No,No,Normal,Always,Occasionally,Usually,Agree,Disagree,Never,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree
697,19,Female,0,Yes,No,No,Underweight,Occasionally,Occasionally,Never,Agree,Agree,Never,Agree,Disagree,Agree,Agree,Agree,Disagree
698,17,Female,0,Yes,Yes,No,Overweight,Always,Occasionally,Usually,Strongly agree,Disagree,Never,Agree,Strongly disagree,Agree,Strongly agree,Agree,Disagree
699,12,Male,0,Yes,Yes,No,Normal,Always,Always,Always,Strongly agree,Strongly disagree,Never,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
700,1,Male,Bengal,Yes,Yes,No,Normal,Always,Always,Always,Strongly agree,Agree,Never,Strongly agree,Disagree,Agree,Agree,Strongly agree,Strongly disagree
701,6,Male,Bengal cross,Yes,No,Yes,Underweight,Usually,Usually,Occasionally,Neither agree nor disagree,Agree,Never,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree
702,2,Female,0,Yes,No,No,Normal,Usually,Always,Always,Strongly agree,Strongly disagree,Never,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
703,7,Male,0,Yes,No,No,Normal,Usually,Usually,Always,Strongly agree,Strongly disagree,Never,Neither agree nor disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly disagree
704,8,Female,0,Yes,Yes,No,Overweight,Occasionally,Occasionally,Usually,Neither agree nor disagree,Disagree,Occasionally,Agree,Strongly disagree,Agree,Neither agree nor disagree,Strongly agree,Agree
705,5,Female,0,No,No,No,Normal,Usually,Usually,Occasionally,Agree,Agree,Never,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
706,10,Male,0,No,No,No,Overweight,Occasionally,Occasionally,Never,Agree,Strongly agree,Never,Strongly agree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Disagree
707,5,Male,0,Yes,No,Yes,Normal,Occasionally,Occasionally,Occasionally,Agree,Neither agree nor disagree,Never,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Agree
708,2,Male,Bengal,Yes,No,Yes,Normal,Always,Always,Occasionally,Disagree,Agree,Never,Disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree
709,3,Female,0,Yes,No,No,Normal,Usually,Usually,Usually,Agree,Agree,Never,Agree,Disagree,Strongly agree,Agree,Strongly agree,Disagree
710,3,Male,0,Yes,No,No,Normal,Occasionally,Occasionally,Occasionally,Disagree,Disagree,Never,Agree,Agree,Agree,Disagree,Agree,Disagree
711,12,Male,0,Yes,No,No,Normal,Occasionally,Usually,Usually,Agree,Disagree,Never,Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree
712,2,Female,Ragdoll,No,No,No,Normal,Occasionally,Usually,Never,Strongly agree,Disagree,Always,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
713,18,Male,0,Yes,No,No,Normal,Usually,Occasionally,Always,Neither agree nor disagree,Disagree,Never,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree
714,17,Male,0,No,No,No,Normal,Occasionally,Occasionally,Usually,Neither agree nor disagree,Disagree,Never,Agree,Disagree,Agree,Agree,Agree,Disagree
715,6,Male,0,Yes,No,No,Normal,Occasionally,Usually,Always,Strongly agree,Agree,Never,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Agree,Agree
716,11,Male,birman cross,Yes,Yes,No,Overweight,Usually,Usually,Occasionally,Agree,Disagree,Occasionally,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
717,13,Male,0,Yes,Yes,Yes,Overweight,Occasionally,Occasionally,Occasionally,Strongly agree,Neither agree nor disagree,Never,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Neither agree nor disagree
718,12,Male,0,Yes,No,Yes,Normal,Occasionally,Usually,Always,Strongly agree,Strongly disagree,Never,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
719,7,Male,0,No,No,No,Normal,Usually,Usually,Never,Strongly agree,Neither agree nor disagree,Once,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree
720,5,Male,0,Yes,No,No,Normal,Usually,Usually,Usually,Neither agree nor disagree,Strongly disagree,Never,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Disagree
721,3,Female,0,Yes,No,No,Normal,Always,Usually,Never,Neither agree nor disagree,Neither agree nor disagree,Never,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Disagree
722,16,Female,0,Yes,Yes,No,Normal,Occasionally,Usually,Usually,Neither agree nor disagree,Disagree,Never,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree
723,3,Male,0,Yes,No,No,Normal,Always,Always,Always,Agree,Disagree,Never,Neither agree nor disagree,Disagree,Strongly agree,Agree,Strongly agree,Strongly disagree
724,5,Female,0,Yes,No,No,Overweight,Always,Always,Never,Strongly agree,Strongly disagree,Never,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree
725,1,Female,british shorthair,No,No,Yes,Underweight,Usually,Always,Never,Neither agree nor disagree,Neither agree nor disagree,Never,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
726,11,Female,0,Yes,No,No,Normal,Always,Usually,Usually,Agree,Agree,Never,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
727,8,Male,0,Yes,No,Yes,Normal,Always,Always,Occasionally,Strongly agree,Disagree,Never,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Disagree
728,3,Female,0,Yes,Yes,No,Normal,Always,Occasionally,Once,Neither agree nor disagree,Neither agree nor disagree,Never,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree
729,13,Female,Turkish van,Yes,Yes,No,Normal,Occasionally,Occasionally,Occasionally,Neither agree nor disagree,Neither agree nor disagree,Occasionally,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
730,5,Male,0,Yes,No,No,Normal,Usually,Usually,Occasionally,Strongly agree,Agree,Never,Disagree,Disagree,Agree,Agree,Agree,Agree
731,10,Female,Birman,Yes,No,No,Normal,Occasionally,Usually,Occasionally,Strongly agree,Strongly agree,Never,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
732,4,Male,0,Yes,Yes,Yes,Overweight,Always,Always,Occasionally,Strongly agree,Disagree,Never,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Strongly disagree
733,8,Male,0,Yes,No,No,Normal,Occasionally,Usually,Usually,Strongly agree,Neither agree nor disagree,Never,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree
734,6,Male,0,Yes,No,No,Normal,Always,Always,Occasionally,Strongly agree,Neither agree nor disagree,Never,Neither agree nor disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree
735,12,Male,Persian chinchilla,Yes,No,No,Normal,Usually,Usually,Usually,Agree,Agree,Never,Neither agree nor disagree,Disagree,Agree,Disagree,Strongly agree,Disagree
736,2,Female,0,Yes,No,Yes,Normal,Always,Usually,Never,Strongly disagree,Strongly agree,Never,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Agree
737,6,Female,0,Yes,No,No,Normal,Always,Occasionally,Never,Disagree,Neither agree nor disagree,Never,Neither agree nor disagree,Strongly agree,Agree,Disagree,Neither agree nor disagree,Strongly disagree
738,10,Male,0,Yes,No,Yes,Overweight,Usually,Usually,Never,Disagree,Neither agree nor disagree,Never,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree
739,2,Female,russian blue,Yes,No,Yes,Normal,Usually,Usually,Never,Disagree,Agree,Never,Agree,Agree,Agree,Disagree,Agree,Disagree
740,3,Female,0,No,Yes,No,Normal,Always,Always,Usually,Agree,Neither agree nor disagree,Never,Neither agree nor disagree,Disagree,Agree,Agree,Strongly agree,Strongly disagree
741,11,Female,0,Yes,Yes,Yes,Normal,Usually,Occasionally,Occasionally,Agree,Disagree,Once,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree
742,6,Female,0,Yes,No,No,Overweight,Occasionally,Occasionally,Always,Agree,Strongly disagree,Never,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
743,8,Male,0,Yes,No,Yes,Normal,Usually,Usually,Usually,Strongly agree,Strongly disagree,Occasionally,Agree,Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
744,13,Female,Abyssinian cross ,Yes,No,No,Overweight,Occasionally,Once,Never,Agree,Neither agree nor disagree,Never,Neither agree nor disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Disagree
745,4,Male,0,Yes,No,No,Normal,Always,Always,Always,Disagree,Disagree,Usually,Disagree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree
746,5,Male,0,Yes,No,No,Normal,Always,Usually,Occasionally,Agree,Strongly disagree,Occasionally,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly disagree
747,1,Male,0,Yes,No,No,Normal,Always,Always,Occasionally,Agree,Strongly disagree,Never,Agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly disagree
748,7,Male,0,Yes,No,No,Normal,Usually,Occasionally,Occasionally,Agree,Disagree,Never,Disagree,Disagree,Agree,Agree,Agree,Agree
749,3,Female,0,Yes,No,No,Normal,Usually,Usually,Always,Strongly agree,Disagree,Never,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree
750,5,Male,0,Yes,No,No,Overweight,Always,Usually,Occasionally,Strongly disagree,Disagree,Occasionally,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree,Disagree
751,2,Male,0,Yes,No,No,Normal,Always,Usually,Usually,Agree,Disagree,Never,Agree,Disagree,Strongly agree,Agree,Strongly agree,Disagree
752,1,Male,0,Yes,No,No,Normal,Usually,Occasionally,Usually,Agree,Disagree,Never,Disagree,Disagree,Strongly agree,Agree,Agree,Disagree
753,3,Male,0,Yes,Yes,Yes,Normal,Always,Usually,Never,Agree,Agree,Once,Strongly disagree,Strongly agree,Agree,Disagree,Agree,Strongly agree
754,2,Female,0,Yes,No,No,Normal,Always,Usually,Occasionally,Disagree,Agree,Never,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree
755,13,Male,0,Yes,No,No,Normal,Always,Usually,Usually,Agree,Disagree,Occasionally,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree
756,4,Male,0,No,No,No,Normal,Occasionally,Occasionally,Occasionally,Strongly disagree,Strongly disagree,Never,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Neither agree nor disagree
757,19,Male,0,Yes,Yes,No,Normal,Usually,Occasionally,Always,Agree,Strongly disagree,Never,Agree,Disagree,Agree,Agree,Agree,Disagree
758,9,Male,0,No,No,No,Overweight,Always,Usually,Always,Strongly agree,Strongly disagree,Never,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
759,13,Female,0,Yes,Yes,Yes,Normal,Usually,Always,Always,Disagree,Strongly agree,Occasionally,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Agree
760,7,Male,Siamese,No,No,Yes,Normal,Always,Usually,Usually,Strongly agree,Disagree,Never,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Disagree
761,8,Female,0,No,Yes,No,Underweight,Usually,Occasionally,Always,Strongly disagree,Neither agree nor disagree,Occasionally,Disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
762,3,Male,0,No,No,No,Normal,Always,Usually,Always,Neither agree nor disagree,Disagree,Never,Agree,Disagree,Strongly agree,Agree,Strongly agree,Disagree
763,12,Female,0,Yes,Yes,Yes,Overweight,Usually,Occasionally,Occasionally,Strongly agree,Strongly agree,Once,Disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Agree
764,5,Male,Sphyinx ,No,No,No,Normal,Occasionally,Always,Always,Strongly agree,Strongly disagree,Never,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
765,1,Male,0,No,No,No,Normal,Usually,Usually,Once,Agree,Agree,Never,Disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
766,4,Male,0,Yes,No,No,Normal,Usually,Usually,Never,Agree,Disagree,Never,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
767,9,Male,0,Yes,No,Yes,Normal,Occasionally,Always,Once,Strongly agree,Disagree,Never,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree
768,15,Female,Maine Coon,No,Yes,No,Normal,Usually,Usually,Occasionally,Strongly agree,Strongly disagree,Never,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
769,11,Male,0,No,No,No,Overweight,Usually,Occasionally,Occasionally,Agree,Agree,Never,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Neither agree nor disagree
770,13,Male,0,No,No,No,Normal,Always,Usually,Usually,Agree,Strongly disagree,Occasionally,Neither agree nor disagree,Disagree,Agree,Disagree,Strongly agree,Strongly disagree
771,3,Female,0,No,No,No,Normal,Always,Always,Usually,Agree,Disagree,Never,Agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly disagree
772,4,Female,Burmese,No,No,No,Normal,Usually,Usually,Occasionally,Strongly agree,Strongly disagree,Never,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
773,3,Male,0,No,No,No,Normal,Usually,Usually,Occasionally,Agree,Neither agree nor disagree,Never,Agree,Strongly disagree,Strongly agree,Agree,Agree,Neither agree nor disagree
774,13,Male,0,Yes,No,No,Normal,Always,Always,Occasionally,Strongly agree,Disagree,Never,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
775,2,Male,0,No,No,No,Normal,Always,Usually,Never,Strongly disagree,Disagree,Never,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree
776,4,Male,0,No,No,No,Normal,Usually,Usually,Usually,Agree,Disagree,Never,Agree,Disagree,Agree,Agree,Agree,Disagree
777,3,Female,devon rex,No,No,No,Normal,Always,Always,Usually,Strongly agree,Disagree,Never,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Disagree
778,9,Male,longhair,No,No,No,Underweight,Always,Always,Always,Agree,Disagree,Never,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree
779,10,Male,Siamese ,No,No,No,Normal,Usually,Usually,Usually,Strongly agree,Disagree,Never,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
780,1,Male,0,No,No,No,Normal,Usually,Usually,Usually,Agree,Disagree,Never,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree
781,7,Female,0,No,No,No,Normal,Always,Always,Occasionally,Strongly agree,Agree,Never,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree
782,1,Female,Abyssinian,No,No,No,Normal,Always,Usually,Never,Neither agree nor disagree,Disagree,Never,Agree,Strongly disagree,Agree,Disagree,Strongly agree,Disagree
783,13,Male,0,Yes,No,No,Normal,Always,Always,Always,Agree,Disagree,Never,Disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Disagree
784,8,Male,0,Yes,No,No,Normal,Usually,Usually,Always,Disagree,Neither agree nor disagree,Never,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Disagree
785,6,Female,0,Yes,No,No,Normal,Always,Always,Always,Agree,Strongly disagree,Once,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
786,7,Male,0,No,No,Yes,Normal,Always,Usually,Usually,Disagree,Strongly disagree,Occasionally,Agree,Strongly disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
787,13,Male,0,No,No,No,Normal,Occasionally,Usually,Usually,Disagree,Strongly agree,Never,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
788,8,Female,0,Yes,No,No,Normal,Always,Usually,Always,Agree,Disagree,Occasionally,Agree,Disagree,Strongly agree,Agree,Agree,Neither agree nor disagree
789,3,Female,0,Yes,Yes,Yes,Underweight,Occasionally,Occasionally,Never,Neither agree nor disagree,Strongly agree,Never,Disagree,Disagree,Agree,Agree,Agree,Agree
790,7,Male,0,Yes,Yes,No,Normal,Always,Usually,Usually,Strongly agree,Strongly disagree,Never,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly disagree
791,5,Male,Turkish van ,Yes,No,No,Normal,Always,Always,Usually,Strongly agree,Strongly disagree,Never,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
792,4,Female,0,Yes,Yes,Yes,Normal,Once,Never,Occasionally,Strongly disagree,Strongly agree,Usually,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree
793,6,Female,Russian Blue,No,Yes,No,Normal,Always,Occasionally,Never,Strongly agree,Disagree,Never,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
794,10,Female,Part Burmese,Yes,No,No,Overweight,Usually,Occasionally,Occasionally,Disagree,Neither agree nor disagree,Never,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
795,3,Female,EGYPTIAN MAU,Yes,No,No,Normal,Always,Always,Always,Strongly agree,Disagree,Never,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Strongly disagree
796,3,Male,0,Yes,No,No,Normal,Always,Usually,Always,Agree,Strongly disagree,Never,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
797,8,Male,Bengal ,No,No,No,Normal,Always,Always,Always,Strongly agree,Neither agree nor disagree,Never,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree
798,15,Female,0,Yes,No,No,Normal,Occasionally,Occasionally,Always,Disagree,Strongly disagree,Never,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree
799,6,Female,0,Yes,No,No,Normal,Usually,Occasionally,Occasionally,Agree,Disagree,Never,Agree,Strongly disagree,Strongly agree,Agree,Agree,Disagree
800,10,Male,0,Yes,Yes,Yes,Normal,Always,Usually,Occasionally,Agree,Strongly disagree,Always,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
801,5,Male,0,No,No,No,Normal,Occasionally,Once,Never,Strongly disagree,Strongly agree,Never,Neither agree nor disagree,Agree,Agree,Strongly disagree,Strongly agree,Agree
802,2,Male,0,Yes,No,No,Overweight,Usually,Usually,Usually,Agree,Strongly agree,Never,Disagree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Agree
803,1,Female,0,Yes,No,No,Normal,Always,Always,Usually,Strongly agree,Strongly disagree,Never,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
804,12,Female,0,No,No,No,Overweight,Occasionally,Occasionally,Usually,Disagree,Disagree,Never,Agree,Disagree,Agree,Disagree,Agree,Disagree
805,13,Female,0,Yes,Yes,No,Normal,Occasionally,Occasionally,Never,Strongly agree,Agree,Never,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree
806,7,Male,0,Yes,No,No,Underweight,Usually,Occasionally,Once,Neither agree nor disagree,Disagree,Never,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree
